Lapatinib
1321N1_CENTRAL_NERVOUS_SYSTEM	non-sensitive
22RV1_PROSTATE	intermediate
42MGBA_CENTRAL_NERVOUS_SYSTEM	intermediate
5637_URINARY_TRACT	sensitive
639V_URINARY_TRACT	non-sensitive
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	sensitive
769P_KIDNEY	sensitive
786O_KIDNEY	sensitive
8305C_THYROID	intermediate
8505C_THYROID	intermediate
8MGBA_CENTRAL_NERVOUS_SYSTEM	intermediate
A172_CENTRAL_NERVOUS_SYSTEM	non-sensitive
A204_SOFT_TISSUE	intermediate
A2058_SKIN	non-sensitive
A253_SALIVARY_GLAND	intermediate
A2780_OVARY	intermediate
A375_SKIN	non-sensitive
A549_LUNG	intermediate
A673_BONE	non-sensitive
ACHN_KIDNEY	intermediate
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	sensitive
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	sensitive
AN3CA_ENDOMETRIUM	non-sensitive
ASPC1_PANCREAS	intermediate
AU565_BREAST	sensitive
AZ521_STOMACH	sensitive
BCPAP_THYROID	intermediate
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	non-sensitive
BFTC909_KIDNEY	non-sensitive
BGC823_STOMACH	non-sensitive
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	intermediate
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	intermediate
BT20_BREAST	intermediate
BT474_BREAST	sensitive
BT549_BREAST	sensitive
BXPC3_PANCREAS	sensitive
C2BBE1_LARGE_INTESTINE	sensitive
C32_SKIN	non-sensitive
C3A_LIVER	intermediate
CAKI2_KIDNEY	intermediate
CAL12T_LUNG	sensitive
CAL27_UPPER_AERODIGESTIVE_TRACT	sensitive
CAL78_BONE	intermediate
CAL851_BREAST	sensitive
CALU1_LUNG	intermediate
CALU3_LUNG	sensitive
CALU6_LUNG	non-sensitive
CAMA1_BREAST	non-sensitive
CAPAN2_PANCREAS	intermediate
CAS1_CENTRAL_NERVOUS_SYSTEM	non-sensitive
CCK81_LARGE_INTESTINE	sensitive
CHL1_SKIN	sensitive
CHP212_AUTONOMIC_GANGLIA	intermediate
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	non-sensitive
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	sensitive
COLO201_LARGE_INTESTINE	non-sensitive
COLO205_LARGE_INTESTINE	non-sensitive
COLO320_LARGE_INTESTINE	intermediate
COLO677_LUNG	intermediate
COLO678_LARGE_INTESTINE	sensitive
COLO679_SKIN	non-sensitive
COLO699_LUNG	intermediate
COLO741_SKIN	intermediate
CORL105_LUNG	intermediate
CORL23_LUNG	non-sensitive
COV318_OVARY	non-sensitive
COV504_OVARY	non-sensitive
DAOY_CENTRAL_NERVOUS_SYSTEM	non-sensitive
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	intermediate
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	sensitive
DETROIT562_UPPER_AERODIGESTIVE_TRACT	intermediate
DKMG_CENTRAL_NERVOUS_SYSTEM	non-sensitive
DMS114_LUNG	non-sensitive
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	sensitive
DOV13_OVARY	intermediate
DU145_PROSTATE	intermediate
DV90_LUNG	intermediate
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	intermediate
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	intermediate
EBC1_LUNG	intermediate
EFE184_ENDOMETRIUM	sensitive
EFM19_BREAST	intermediate
EFO21_OVARY	intermediate
EFO27_OVARY	intermediate
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	intermediate
EN_ENDOMETRIUM	intermediate
ES2_OVARY	non-sensitive
ESS1_ENDOMETRIUM	sensitive
F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	intermediate
FADU_UPPER_AERODIGESTIVE_TRACT	sensitive
FU97_STOMACH	intermediate
FUOV1_OVARY	intermediate
G361_SKIN	sensitive
G401_SOFT_TISSUE	intermediate
G402_SOFT_TISSUE	non-sensitive
GAMG_CENTRAL_NERVOUS_SYSTEM	non-sensitive
GB1_CENTRAL_NERVOUS_SYSTEM	non-sensitive
GCIY_STOMACH	intermediate
GCT_SOFT_TISSUE	intermediate
GI1_CENTRAL_NERVOUS_SYSTEM	non-sensitive
GLC82_LUNG	non-sensitive
GMS10_CENTRAL_NERVOUS_SYSTEM	non-sensitive
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	non-sensitive
H4_CENTRAL_NERVOUS_SYSTEM	non-sensitive
HARA_LUNG	intermediate
HCC1187_BREAST	non-sensitive
HCC1395_BREAST	intermediate
HCC15_LUNG	intermediate
HCC1569_BREAST	intermediate
HCC1806_BREAST	sensitive
HCC1954_BREAST	sensitive
HCC2935_LUNG	sensitive
HCC4006_LUNG	sensitive
HCC44_LUNG	non-sensitive
HCC56_LARGE_INTESTINE	intermediate
HCC70_BREAST	intermediate
HCC78_LUNG	non-sensitive
HCC827_LUNG	sensitive
HCT116_LARGE_INTESTINE	intermediate
HCT15_LARGE_INTESTINE	sensitive
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	intermediate
HDQP1_BREAST	sensitive
HEC151_ENDOMETRIUM	sensitive
HEC1A_ENDOMETRIUM	non-sensitive
HEC1B_ENDOMETRIUM	intermediate
HEC251_ENDOMETRIUM	intermediate
HEC265_ENDOMETRIUM	intermediate
HEC59_ENDOMETRIUM	non-sensitive
HEC6_ENDOMETRIUM	sensitive
